Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC1114JHN33,LPC1114JHN33,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,N,1.8,3.6,Production,-,,,
LPC1114JHN33,LPC1114JHN33/203,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114JHN33,LPC1114JHN33/303,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114JHN33,LPC1114JHN33/333,Cortex-M0,50,42,32,4,-,28,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,13,HVQFN32,-40 °C to +105 °C,-,-,1.8,3.6,Production,-,,,
LPC1114LVFHI33,LPC1114LVFHI33,Cortex-M0,50,42,32,8,-,27,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,11,HVQFN32,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1114LVFHI33,LPC1114LVFHI33/303,Cortex-M0,50,42,32,8,-,27,-,-,-,-,1,1,1,8,10,-,22,16; 32,1,-,11,HVQFN32,-40 °C to +85 °C,-,-,1.71,1.89,Production,-,,,
LPC1114LVFHN24,LPC1114LVFHN24,Cortex-M0,50,42,32,4,-,20,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,11,HVQFN24,-40 °C to +85 °C,-,N,1.71,1.89,Production,-,,,
LPC1114LVFHN24,LPC1114LVFHN24/103,Cortex-M0,50,42,32,4,-,20,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,11,HVQFN24,-40 °C to +85 °C,-,-,1.71,1.89,Production,-,,,
LPC1114LVFHN24,LPC1114LVFHN24/303,Cortex-M0,50,42,32,4,-,20,-,-,-,-,1,1,1,6,10,-,22,16; 32,1,-,11,HVQFN24,-40 °C to +85 °C,-,-,1.71,1.89,Production,-,,,
LPC1115FBD48,LPC1115FBD48,Cortex-M0,50,42,64,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,N,1.8,3.6,Production,-,,,
LPC1115FBD48,LPC1115FBD48/303,Cortex-M0,50,42,64,8,-,42,-,-,-,-,1,1,2,8,10,-,22,16; 32,1,-,13,LQFP48,-40 °C to +85 °C,-,-,1.8,3.6,Production,-,,,
