Part Number,Parts,CPU,Clock speed [max] (MHz) ,DMIPS,Flash (KB),SRAM(kB),EEPROM (kB) ,GPIO,USB,USB (speed),USB (type),CAN,UART,I?C,SPI,ADC channels,ADC (bits) ,Comparators,DAC (bits) ,Timers,Timer (bits) ,SCTimer / PWM,PWM,Package name,Temperature range,Temperature sensor,Supply voltage [min] (V) ,Supply voltage [max] (V) ,Product status,Demoboard,,,,
LPC11H37FBD64,LPC11H37FBD64,Cortex-M0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,LQFP64,-0,-0,-0,-0,Production,-0,,,,
LPC11H37FBD64,LPC11H37FBD64/401,Cortex-M0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,-0,1,-0,LQFP64,-0,-0,-0,-0,Production,LPC11U1X,,,,
LPC11U13FBD48,LPC11U13FBD48,Cortex-M0,50,42,24,6,0,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U1X,,,,
LPC11U14FET48,LPC11U14FET48,Cortex-M0,50,42,32,6,0,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,TFBGA48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U1X,,,,
LPC11U14FHI33,LPC11U14FHI33,Cortex-M0,50,42,32,6,0,26,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U1X,,,,
LPC11U14FHN33,LPC11U14FHN33,Cortex-M0,50,42,32,6,0,26,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U2X,,,,
LPC11U22FBD48,LPC11U22FBD48,Cortex-M0,50,42,16,2,1,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U2X,,,,
LPC11U23FBD48,LPC11U23FBD48,Cortex-M0,50,42,24,2,1,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U2X,,,,
LPC11U24FBD64,LPC11U24FBD64,Cortex-M0,50,42,32,2,4,54,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U2X,,,,
LPC11U24FET48,LPC11U24FET48,Cortex-M0,50,42,32,2,2,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,TFBGA48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U2X,,,,
LPC11U24FHI33,LPC11U24FHI33,Cortex-M0,50,42,32,2,2,26,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U3X,,,,
LPC11U34FBD48,LPC11U34FBD48,Cortex-M0,50,42,40,10,4,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U3X,,,,
LPC11U34FHN33,LPC11U34FHN33,Cortex-M0,50,42,40,10,4,26,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,HVQFN32,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U3X,,,,
LPC11U35FET48,LPC11U35FET48,Cortex-M0,50,42,64,12,4,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,TFBGA48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U3X,,,,
LPC11U36FBD48,LPC11U36FBD48,Cortex-M0,50,42,96,10,4,40,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP48,-40 °C to +85 °C,-0,1.8,3.6,Production,LPC11U3X,,,,
LPC11U36FBD64,LPC11U36FBD64,Cortex-M0,50,42,96,10,4,54,1,FS,device,-0,1,1,2,8,10,-0,-0,4,16; 32,1,11,LQFP64,-40 °C to +85 °C,-0,1.8,3.6,Production,OM13032; OM13041; OM13033,,,,
LPC11U66JBD48,LPC11U66JBD48,Cortex-M0+,50,42,64,12,4,34,1,FS,device,-0,3,2,-0,8,12,-0,-0,6,32,2,19,LQFP48,-40 °C to +85 °C,-0,2.4,3.6,Production,-0,,,,
LPC11U67JBD100,LPC11U67JBD100,Cortex-M0+,50,42,128,20,4,80,1,FS,device,-0,5,2,-0,12,12,-0,-0,6,32,2,19,LQFP100,-40 °C to +85 °C,-0,2.4,3.6,Production,-0,,,,
