MCUMASK,SRAM,SRAM SIZE,SRAM2,SRAM2 SIZE,SRAM3,SRAM3 SIZE,CCM,CCM SIZE,Data EEPROM,Data EEPROM SIZE,Data EEPROM 2,Data EEPROM2 SIZE,FLASH,FLASH SIZE,FLASH2,FLASH2 SIZE,BACKUP SRAM,BACKUP SRAM SIZE
STM32F042x4,0x2000 0000,6,,,,,,,,,,,0x0800 0000,16,,,,
STM32F042x6,0x2000 0000,6,,,,,,,,,,,0x0800 0000,32,,,,
STM32F071x8,0x2000 0000,16,,,,,,,,,,,0x0800 0000,64,,,,
STM32F071xB,0x2000 0000,16,,,,,,,,,,,0x0800 0000,128,,,,
STM32F072x8,0x2000 0000,16,,,,,,,,,,,0x0800 0000,64,,,,
STM32F072xB,0x2000 0000,16,,,,,,,,,,,0x0800 0000,128,,,,
STM32F050x4,0x2000 0000,4,,,,,,,,,,,0x0800 0000,16,,,,
STM32F050x6,0x2000 0000,4,,,,,,,,,,,0x0800 0000,32,,,,
STM32F051x4,0x2000 0000,8,,,,,,,,,,,0x0800 0000,16,,,,
STM32F051x6,0x2000 0000,8,,,,,,,,,,,0x0800 0000,32,,,,
STM32F051x8,0x2000 0000,8,,,,,,,,,,,0x0800 0000,64,,,,
STM32F091xB,0x2000 0000,32,,,,,,,,,,,0x0800 0000,128,,,,
STM32F091xC,0x2000 0000,32,,,,,,,,,,,0x0800 0000,256,,,,
STM32F205xB,0x2000 0000,48,0x2001 C000,16,,,,,,,,,0x0800 0000,128,,,0x4002 4000,4
STM32F205xC,0x2000 0000,80,0x2001 C000,16,,,,,,,,,0x0800 0000,256,,,0x4002 4000,4
STM32F205xE,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,512,,,0x4002 4000,4
STM32F205xF,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,768,,,0x4002 4000,4
STM32F205xG,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,1024,,,0x4002 4000,4
STM32F207xC,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,256,,,0x4002 4000,4
STM32F207xE,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,512,,,0x4002 4000,4
STM32F207xF,0x2000 0000,112,0x2001 C000,16,,,,,,,,,0x0800 0000,768,,,0x4002 4000,4
